"filename", "language", "XML", "C#", "Docker", "JSON with Comments", "TypeScript", "TypeScript JSX", "CSS", "Markdown", "JSON", "Properties", "HTML", "JavaScript", "Ignore", "YAML", "comment", "blank", "total"
"c:\Users\deltagare\aurellab\Activities\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\deltagare\aurellab\Activities\.github\workflows\docker-push.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 37
"c:\Users\deltagare\aurellab\Activities\API\AIM\ChatGtp4.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 18
"c:\Users\deltagare\aurellab\Activities\API\API.csproj", "XML", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 35
"c:\Users\deltagare\aurellab\Activities\API\Controllers\AccountController.cs", "C#", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 96
"c:\Users\deltagare\aurellab\Activities\API\Controllers\ActivitiesController.cs", "C#", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 57
"c:\Users\deltagare\aurellab\Activities\API\Controllers\BaseApiController.cs", "C#", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\deltagare\aurellab\Activities\API\Controllers\BuggyController.cs", "C#", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\deltagare\aurellab\Activities\API\Controllers\FallbackController.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\deltagare\aurellab\Activities\API\Controllers\FollowController.cs", "C#", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\deltagare\aurellab\Activities\API\Controllers\PhotosController.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\deltagare\aurellab\Activities\API\Controllers\ProfilesController.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\deltagare\aurellab\Activities\API\Controllers\WeatherForecastController.cs", "C#", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\deltagare\aurellab\Activities\API\DTOs\LoginDto.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\deltagare\aurellab\Activities\API\DTOs\RegisterDto.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\deltagare\aurellab\Activities\API\DTOs\UserDto.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\deltagare\aurellab\Activities\API\Extensions\ApplicationServiceExtensions.cs", "C#", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 96
"c:\Users\deltagare\aurellab\Activities\API\Extensions\HttpExtensions.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\deltagare\aurellab\Activities\API\Extensions\IdentityServiceExtensions.cs", "C#", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 64
"c:\Users\deltagare\aurellab\Activities\API\Middleware\ExceptionMiddleware.cs", "C#", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Users\deltagare\aurellab\Activities\API\Program.cs", "C#", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 16, 102
"c:\Users\deltagare\aurellab\Activities\API\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\deltagare\aurellab\Activities\API\Services\TokenService.cs", "C#", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"c:\Users\deltagare\aurellab\Activities\API\SingnalR\ChatHub.cs", "C#", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\deltagare\aurellab\Activities\API\WeatherForecast.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\deltagare\aurellab\Activities\API\appsettings.Development.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\deltagare\aurellab\Activities\API\wwwroot\asset-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 31
"c:\Users\deltagare\aurellab\Activities\API\wwwroot\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
